ID,Brand,Name,Fragrance Type,Notes,size,Price
001,Aquolina,Pink Sugar,Body Mist,"Bergamot, Orange, Raspberry, Fig, Licorice, Lily, Cotton Candy, Red Fruits, Vanilla, Caramel, Musk, Tonka, Sandalwood",Full,15
002,Aquolina,Pink Sugar Red Velvet,Eau de Toilette,"Strawberry, Bergamot, Orange Flower, Lily, Violet, Chantilly, Amber, Vanilla",Travel,16
003,Aquolina,Pink Sugar Berry Blast,Body Mist,"Blueberry, Blackberry, Orange, Bergamot, Cotton Candy, Cherry, Strawberry, Cork, Caramel, Vanilla, Tonka, Cedarwood, Moss",Full,15
004,Ariana Grande,Cloud,Eau de Parfum,"Lavender, Pear, Bergamot, Coconut, Praline, Vanilla, Cashmere, Muck",Full,50
005,Bath & Body Works,Kaleidescope,Body Mist,"Iris, Cedarwood, Pink Pepper",Travel,9
006,Being Frenshe,Cashmere Vanilla,Body Mist,"Vanilla, Rice, Amber, Musk",Full,16.99
007,Being Frenshe,Moon Milk,Body Mist,"Oat Milk, Vanilla, Nutmeg, Ginger",Full,16.99
008,Burberry,Her,Eau de Parfum,"Black Currant, Blueberry, Raspberry, Jasmine, Violet, Musk, Amber, Wood",Travel,30
009,by Rosie Jane,Dulce,Fragrance Oil,"Vanilla, Brown Sugar, Wood",Travel,48
010,Carolina Herrera,Good Girl,Eau de Parfum,"Almond, Jasmine, Tuberose, Tonka, Cocoa",Sample,
011,Carolina Herrera,Good Girl Legere,Eau de Parfum,"Tangerine, Jasmine, Ylang-ylang, Tonka, Dulce de Leche",Full,150
012,Carolina Herrera,Very Good Girl,Body Mist,"Red Currant, Lychee, Rose, Lily, Vanilla, Vetiver",Full,49
013,Chanel,Chance Eau Fraiche,Parfum,"Citron, Jasmine, Wood",Full,
014,Charlie D’Amelio,Born Dreamer,Eau de Toilette,"Pear, Orange, Jasmine, Sugar, Amber, Cedarwood, Cashmere",Full,48
015,Christian Louboutin,Fetiche La Rose,Eau de Parfum,"Pink Pepper, Rose, Cherry, Amber",Sample,
016,Clean,Apple Blosson,Eau de Parfum,"Apple, Pear, Grapefruit, Peony, Freesia, Jasmine, Musk, Amber, Wood",Travel,
017,Clean,Fresh Laundry & Lavender ,Eau de Toilette,"Aldehyde, aromatic, Mandarin, Cyclamen, Jasmine, Lavender, Orange Blossom, Sandalwood, Musk",Travel,
018,Clean,Rain & Pear,Eau de Toilette,"Melon, Pear, Daffodil, Watermint, Spring, Water Lily, Violet, Musk, Wood",Travel,
019,Clean,Skin & Vanilla,Eau de Toilette,"Honeydew, Lotus, Air, Petals, Aquatic, Musk, Cashmere, Wood, Amber, Vanilla",Travel,
020,Clean,Warm Cotton & Mandarin,Eau de Toilette,"Mandarin, Verbena, Orange, Fruit, Marine, Musk, Amber",Travel,
021,Clean Reserve,Acqua Neroli,Eau de Parfum,"Bergamot, Mandarin, Orange, Jasmine, Neroli, Orange Blossom, Musk, Amber, Ambrette",Travel,32
022,Clean Reserve,Radiant Nectar,Eau de Parfum,"Amber, Pear, Butter, Carrot, Tobacco, Cedarwood, Musk",Travel,0
023,Clean Reserve,Skin,Eau de Parfum,"Bergamot, Orange Blossom, Honeysuckle, Skin, Vanilla, Peony, Praline, Musk, Cedarwood",Full,75
024,Clean Reserve,Sparkling Sugar,Eau de Parfum,"Cassis Berries, Amber, Peach, Jasmine, Sugar, Musk, Tonka, Wood",Travel,0
025,Clean Reserve,Whipped Cherry,Eau de Parfum,"Cherry, Pineapple, Coconut, Orange, Almond, Praline, Mimosa, Osmanthus, Vanilla, Cedarwood, Musk, Sandalwood",Full,0
026,Clinique,My Happy Cocoa & Cashmere,Eau de Parfum,"Cocoa, Vanilla, Musk",Travel,35
027,Commodity,Gold-,Eau de Parfum,"Juniper Berries, Vanilla, Sandalwood, Amber, Benzoin, Iso E Super",Travel,16
028,Commodity,Milk,Eau de Parfum,"Marshmallow, Sesame, Wood, Tonka, Milk, Benzoin",Travel,16
029,Commodity,Moss-,Eau de Parfum,"Bergamot, Petitgrain, Oakmoss, Amber, Skin, Musk",Travel,16
030,Commodity,Paper-,Eau de Parfum,"Iso E Super, Cedarwood, Sandalwood, Amber",Travel,16
031,Confessions of a Rebel,Bite me,Eau de Parfum,"Strawberry, Apple, Vanilla, Jasmine, Rum",Travel,16
032,Deck of Scarlet,Maximalist,Eau de Parfum,"Pear, Bergamot, Jasmine, Amber, Wood, Vanilla",Travel,
033,DedCool,Xtra Milk,Eau de Parfum,"Bergamot, Musk, Amber",Travel,30
034,Dime,7 Summers,Eau de Toilette,"Bergamot, Pear, Lavender, Vanilla, Whipped Cream, Coconut, Wood, Amber, Musk",Travel,16
035,Dior,J’adore,Eau de Parfum,"Ylang-ylang, Rose, Jasmine",Full,225
036,Dior,J’adore l’Or,Eau de Parfum,"Orange Blossom, Jasmine, Rose",Travel,0
037,Dior,Miss Dior Blooming Bouquet,Eau de Toilette,"Bergamot, Rose, Peony, Musk",Full,150
038,DKNY,Be Delicious,Eau de Toilette,"Apple, Magnolia, Sandalwood",Travel,16
